FID,FID_Fish4,Id,POINT_X,POINT_Y,FID_Unconv,NAME,SHAPEAREA,OBJECTID,NEAR_FID,NEAR_DIST,NEAR_ANGLE,NEAR_FC,RASTERVALU
12660,31345,0,-122.779533752999995,57.332682492000004,0,Montney Basin,26607264166.200000762939453,4,0,0.220424177723000,31.196649235999999,CTB,303.9500122
12661,31346,0,-122.757075870999998,57.332682492000004,0,Montney Basin,26607264166.200000762939453,4,0,0.201213827681000,31.196649235999999,CTB,296.5289917
12662,31347,0,-122.734617989000000,57.332682492000004,0,Montney Basin,26607264166.200000762939453,4,0,0.182003477638000,31.196649235999999,CTB,292.7520142
12663,31348,0,-122.712160105999999,57.332682492000004,0,Montney Basin,26607264166.200000762939453,4,0,0.162793127595000,31.196649235999999,CTB,287.8500061
12664,31349,0,-122.689702224000001,57.332682492000004,0,Montney Basin,26607264166.200000762939453,4,0,0.143582777553000,31.196649235999999,CTB,285.4590149
12665,31350,0,-122.667244342000004,57.332682492000004,0,Montney Basin,26607264166.200000762939453,4,0,0.124372427510000,31.196649235999999,CTB,283.1419983
12666,31351,0,-122.644786460000006,57.332682492000004,0,Montney Basin,26607264166.200000762939453,4,0,0.105162077467000,31.196649235999999,CTB,284.4750061
12667,31352,0,-122.622328577999994,57.332682492000004,0,Montney Basin,26607264166.200000762939453,4,0,0.085951727424700,31.196649235999999,CTB,284.6210022
12668,31353,0,-122.599870695999996,57.332682492000004,0,Montney Basin,26607264166.200000762939453,4,0,0.066363381114300,29.003230000799999,CTB,284.4689941
12669,31354,0,-122.577412813999999,57.332682492000004,0,Montney Basin,26607264166.200000762939453,4,0,0.046721888667900,29.003230000799999,CTB,280.3840027
12670,31355,0,-122.554954932000001,57.332682492000004,0,Montney Basin,26607264166.200000762939453,4,0,0.027080396221600,29.003230000700000,CTB,277.5400085
12671,31356,0,-122.532497050000003,57.332682492000004,0,Montney Basin,26607264166.200000762939453,4,0,0.007438903775220,29.003230000700000,CTB,273.6900024
12672,31357,0,-122.510039167000002,57.332682492000004,0,Montney Basin,26607264166.200000762939453,4,0,0.012202588671200,-150.996769999000009,CTB,271.5000000
12673,31358,0,-122.487581285000005,57.332682492000004,0,Montney Basin,26607264166.200000762939453,4,0,0.031844081117600,-150.996769999000009,CTB,269.6419983
12674,31359,0,-122.465123403000007,57.332682492000004,0,Montney Basin,26607264166.200000762939453,4,0,0.051485573564000,-150.996769999000009,CTB,269.4209900
12675,31360,0,-122.442665520999995,57.332682492000004,0,Montney Basin,26607264166.200000762939453,4,0,0.071127066010300,-150.996769999000009,CTB,271.2600098
12676,31361,0,-122.420207638999997,57.332682492000004,0,Montney Basin,26607264166.200000762939453,4,0,0.090768558456700,-150.996769999000009,CTB,270.0419922
12677,31362,0,-122.397749757000000,57.332682492000004,0,Montney Basin,26607264166.200000762939453,4,0,0.110410050903000,-150.996769999000009,CTB,270.6260071
12678,31363,0,-122.375291875000002,57.332682492000004,0,Montney Basin,26607264166.200000762939453,4,0,0.130051543349000,-150.996769999000009,CTB,272.3590088
12679,31364,0,-122.352833993000004,57.332682492000004,0,Montney Basin,26607264166.200000762939453,4,0,0.149693035796000,-150.996769999000009,CTB,271.5169983
12680,31365,0,-122.330376111000007,57.332682492000004,0,Montney Basin,26607264166.200000762939453,4,0,0.169334528242000,-150.996769999000009,CTB,270.1130066
12681,31366,0,-122.307918228999995,57.332682492000004,0,Montney Basin,26607264166.200000762939453,4,0,0.188976020689000,-150.996769999000009,CTB,274.2659912
12682,31367,0,-122.285460345999994,57.332682492000004,0,Montney Basin,26607264166.200000762939453,4,0,0.208606355016000,-150.091935218999993,CTB,273.0159912
12683,31368,0,-122.263002463999996,57.332682492000004,0,Montney Basin,26607264166.200000762939453,4,0,0.228073444035000,-150.091935218999993,CTB,271.1770020
12684,31369,0,-122.240544581999998,57.332682492000004,0,Montney Basin,26607264166.200000762939453,4,0,0.247540533054000,-150.091935218999993,CTB,271.0220032
12685,31370,0,-122.218086700000001,57.332682492000004,0,Montney Basin,26607264166.200000762939453,4,0,0.267007622073000,-150.091935218999993,CTB,271.5039978
12686,31371,0,-122.195628818000003,57.332682492000004,0,Montney Basin,26607264166.200000762939453,4,0,0.286474711091000,-150.091935218999993,CTB,280.6319885
12687,31372,0,-122.173170936000005,57.332682492000004,0,Montney Basin,26607264166.200000762939453,4,0,0.305941800110000,-150.091935218999993,CTB,282.4330139
12688,31373,0,-122.150713053999993,57.332682492000004,0,Montney Basin,26607264166.200000762939453,4,0,0.325408889129000,-150.091935218999993,CTB,276.8349915
12689,31374,0,-122.128255171999996,57.332682492000004,0,Montney Basin,26607264166.200000762939453,4,0,0.344875978148000,-150.091935218999993,CTB,273.7810059
12690,31375,0,-122.105797289999998,57.332682492000004,0,Montney Basin,26607264166.200000762939453,4,0,0.364343067166000,-150.091935218999993,CTB,279.4849854
12691,31376,0,-122.083339408000001,57.332682492000004,0,Montney Basin,26607264166.200000762939453,4,0,0.383810156185000,-150.091935218999993,CTB,286.6789856
12692,31377,0,-122.060881524999999,57.332682492000004,0,Montney Basin,26607264166.200000762939453,4,0,0.403277245204000,-150.091935218999993,CTB,275.4830017
12693,31378,0,-122.038423643000002,57.332682492000004,0,Montney Basin,26607264166.200000762939453,4,0,0.422744334223000,-150.091935218999993,CTB,268.1239929
12694,31379,0,-122.015965761000004,57.332682492000004,0,Montney Basin,26607264166.200000762939453,4,0,0.442211423241000,-150.091935218999993,CTB,266.8569946
12695,31380,0,-121.993507879000006,57.332682492000004,0,Montney Basin,26607264166.200000762939453,4,0,0.461678512260000,-150.091935218999993,CTB,263.9469910
12696,31381,0,-121.971049996999994,57.332682492000004,0,Montney Basin,26607264166.200000762939453,4,0,0.481160472773000,-150.542410620999988,CTB,261.5710144
12697,31382,0,-121.948592114999997,57.332682492000004,0,Montney Basin,26607264166.200000762939453,4,0,0.500836786788000,-151.805984255999988,CTB,260.3609924
12698,31383,0,-121.926134232999999,57.332682492000004,0,Montney Basin,26607264166.200000762939453,4,0,0.520738212904000,-152.973508482999989,CTB,258.6770020
12699,31384,0,-121.903676351000001,57.332682492000004,0,Montney Basin,26607264166.200000762939453,4,0,0.540839901166000,-154.054666354999995,CTB,256.0539856
12700,31385,0,-121.881218469000004,57.332682492000004,0,Montney Basin,26607264166.200000762939453,4,0,0.561120329293000,-155.058008335000011,CTB,253.7010040
12701,31386,0,-121.858760587000006,57.332682492000004,0,Montney Basin,26607264166.200000762939453,4,0,0.581560798313000,-155.991089845999994,CTB,250.5520020
12702,31387,0,-121.836302704000005,57.332682492000004,0,Montney Basin,26607264166.200000762939453,4,0,0.602136123223000,-156.549305686999986,CTB,250.2929993
12703,31388,0,-121.813844821999993,57.332682492000004,0,Montney Basin,26607264166.200000762939453,4,0,0.622739048875000,-156.549305686999986,CTB,250.3260040
12704,31389,0,-121.791386939999995,57.332682492000004,0,Montney Basin,26607264166.200000762939453,4,0,0.643341974526000,-156.549305686999986,CTB,248.8350067
12705,31390,0,-121.768929057999998,57.332682492000004,0,Montney Basin,26607264166.200000762939453,4,0,0.663944900177000,-156.549305686999986,CTB,245.7980042
12706,31391,0,-121.746471176000000,57.332682492000004,0,Montney Basin,26607264166.200000762939453,4,0,0.684547825828000,-156.549305686999986,CTB,245.1150055
12707,31392,0,-121.724013294000002,57.332682492000004,0,Montney Basin,26607264166.200000762939453,4,0,0.705150751479000,-156.549305686999986,CTB,244.3049927
12708,31393,0,-121.701555412000005,57.332682492000004,0,Montney Basin,26607264166.200000762939453,4,0,0.725753677130000,-156.549305686999986,CTB,243.6060028
12709,31394,0,-121.679097530000007,57.332682492000004,0,Montney Basin,26607264166.200000762939453,4,0,0.746356602781000,-156.549305686999986,CTB,241.1690063
12710,31395,0,-121.656639647999995,57.332682492000004,0,Montney Basin,26607264166.200000762939453,4,0,0.766959528432000,-156.549305686999986,CTB,237.0630035
12711,31396,0,-121.634181764999994,57.332682492000004,0,Montney Basin,26607264166.200000762939453,4,0,0.787562454083000,-156.549305686999986,CTB,236.0260010
