FID,FID_Fish4,Id,POINT_X,POINT_Y,FID_Unconv,NAME,SHAPEAREA,OBJECTID
246,2586,0,-120.421456132000003,55.136598113300003,0,Montney Basin,26607264166.200000762939453,4
247,2587,0,-120.398998250000005,55.136598113300003,0,Montney Basin,26607264166.200000762939453,4
248,2588,0,-120.376540367999993,55.136598113300003,0,Montney Basin,26607264166.200000762939453,4
249,2589,0,-120.354082485999996,55.136598113300003,0,Montney Basin,26607264166.200000762939453,4
250,2590,0,-120.331624603999998,55.136598113300003,0,Montney Basin,26607264166.200000762939453,4
251,2591,0,-120.309166720999997,55.136598113300003,0,Montney Basin,26607264166.200000762939453,4
252,2592,0,-120.286708838999999,55.136598113300003,0,Montney Basin,26607264166.200000762939453,4
253,2593,0,-120.264250957000002,55.136598113300003,0,Montney Basin,26607264166.200000762939453,4
254,2594,0,-120.241793075000004,55.136598113300003,0,Montney Basin,26607264166.200000762939453,4
255,2595,0,-120.219335193000006,55.136598113300003,0,Montney Basin,26607264166.200000762939453,4
256,2596,0,-120.196877310999994,55.136598113300003,0,Montney Basin,26607264166.200000762939453,4
257,2597,0,-120.174419428999997,55.136598113300003,0,Montney Basin,26607264166.200000762939453,4
258,2598,0,-120.151961546999999,55.136598113300003,0,Montney Basin,26607264166.200000762939453,4
259,2599,0,-120.129503665000001,55.136598113300003,0,Montney Basin,26607264166.200000762939453,4
260,2600,0,-120.107045782000000,55.136598113300003,0,Montney Basin,26607264166.200000762939453,4
261,2601,0,-120.084587900000002,55.136598113300003,0,Montney Basin,26607264166.200000762939453,4
262,2602,0,-120.062130018000005,55.136598113300003,0,Montney Basin,26607264166.200000762939453,4
263,2603,0,-120.039672135999993,55.136598113300003,0,Montney Basin,26607264166.200000762939453,4
264,2604,0,-120.017214253999995,55.136598113300003,0,Montney Basin,26607264166.200000762939453,4
265,2739,0,-120.668492834999995,55.149433465900003,0,Montney Basin,26607264166.200000762939453,4
266,2740,0,-120.646034952999997,55.149433465900003,0,Montney Basin,26607264166.200000762939453,4
267,2741,0,-120.623577071000000,55.149433465900003,0,Montney Basin,26607264166.200000762939453,4
268,2742,0,-120.601119189000002,55.149433465900003,0,Montney Basin,26607264166.200000762939453,4
269,2743,0,-120.578661307000004,55.149433465900003,0,Montney Basin,26607264166.200000762939453,4
270,2744,0,-120.556203425000007,55.149433465900003,0,Montney Basin,26607264166.200000762939453,4
271,2745,0,-120.533745542000005,55.149433465900003,0,Montney Basin,26607264166.200000762939453,4
272,2746,0,-120.511287659999994,55.149433465900003,0,Montney Basin,26607264166.200000762939453,4
273,2747,0,-120.488829777999996,55.149433465900003,0,Montney Basin,26607264166.200000762939453,4
274,2748,0,-120.466371895999998,55.149433465900003,0,Montney Basin,26607264166.200000762939453,4
275,2749,0,-120.443914014000001,55.149433465900003,0,Montney Basin,26607264166.200000762939453,4
276,2750,0,-120.421456132000003,55.149433465900003,0,Montney Basin,26607264166.200000762939453,4
277,2751,0,-120.398998250000005,55.149433465900003,0,Montney Basin,26607264166.200000762939453,4
278,2752,0,-120.376540367999993,55.149433465900003,0,Montney Basin,26607264166.200000762939453,4
279,2753,0,-120.354082485999996,55.149433465900003,0,Montney Basin,26607264166.200000762939453,4
280,2754,0,-120.331624603999998,55.149433465900003,0,Montney Basin,26607264166.200000762939453,4
281,2755,0,-120.309166720999997,55.149433465900003,0,Montney Basin,26607264166.200000762939453,4
282,2756,0,-120.286708838999999,55.149433465900003,0,Montney Basin,26607264166.200000762939453,4
283,2757,0,-120.264250957000002,55.149433465900003,0,Montney Basin,26607264166.200000762939453,4
284,2758,0,-120.241793075000004,55.149433465900003,0,Montney Basin,26607264166.200000762939453,4
