FID,FID_BCHFWe,Well_ID,LATITUDE,LONGITUDE,FID_Unconv,NAME,SHAPEAREA,OBJECTID,NEAR_FID,NEAR_DIST,NEAR_ANGLE,NEAR_FC
1119,1598,1599.000000000000000,55.708437000000004,-120.233828000000003,0,Montney Basin,26607264166.200000762939453,4,0,0.793699391256000,-123.470980783000002,CTB
1120,1593,1594.000000000000000,55.708542999999999,-120.209923000000003,0,Montney Basin,26607264166.200000762939453,4,0,0.806971768505000,-123.470980783000002,CTB
1121,1504,1505.000000000000000,55.708570000000002,-120.212675000000004,0,Montney Basin,26607264166.200000762939453,4,0,0.805476522878000,-123.470980783000002,CTB
1122,1732,1733.000000000000000,55.708607000000001,-120.227484000000004,0,Montney Basin,26607264166.200000762939453,4,0,0.797340007765000,-123.470980783000002,CTB
1123,468,469.000000000000000,55.709017000000003,-120.895177000000004,0,Montney Basin,26607264166.200000762939453,4,0,0.410672165349000,-130.814001826000009,CTB
1124,5708,5709.000000000000000,55.709032999999998,-120.204830000000001,0,Montney Basin,26607264166.200000762939453,4,0,0.810189373174000,-123.470980783000002,CTB
1125,243,244.000000000000000,55.709519000000000,-120.050782999999996,0,Montney Basin,26607264166.200000762939453,4,0,0.895553942041000,-123.470980783000002,CTB
1126,244,245.000000000000000,55.709899999999998,-120.207800000000006,0,Montney Basin,26607264166.200000762939453,4,0,0.809274596190000,-123.470980783000002,CTB
1127,236,237.000000000000000,55.709974000000003,-120.623644999999996,0,Montney Basin,26607264166.200000762939453,4,0,0.579975678933000,-123.474326880999996,CTB
1128,478,479.000000000000000,55.710104999999999,-120.247039999999998,0,Montney Basin,26607264166.200000762939453,4,0,0.787804168447000,-123.470980783000002,CTB
1129,4415,4416.000000000000000,55.710577000000001,-120.203461000000004,0,Montney Basin,26607264166.200000762939453,4,0,0.812232347779000,-123.470980783000002,CTB
1130,4444,4445.000000000000000,55.710965000000002,-120.573094999999995,0,Montney Basin,26607264166.200000762939453,4,0,0.608683828689000,-123.474326880999996,CTB
1131,150,151.000000000000000,55.711131999999999,-120.202074999999994,0,Montney Basin,26607264166.200000762939453,4,0,0.813459708689000,-123.470980783000002,CTB
1132,4410,4411.000000000000000,55.711351999999998,-120.616777999999996,0,Montney Basin,26607264166.200000762939453,4,0,0.584912699333000,-123.474326880999996,CTB
1133,246,247.000000000000000,55.711435000000002,-120.802954999999997,0,Montney Basin,26607264166.200000762939453,4,0,0.472037607475000,-128.241186411000001,CTB
1134,477,478.000000000000000,55.711449000000002,-120.094577000000001,0,Montney Basin,26607264166.200000762939453,4,0,0.873010852034000,-123.470980783000002,CTB
1135,133,134.000000000000000,55.711644000000000,-120.618150999999997,0,Montney Basin,26607264166.200000762939453,4,0,0.584398969798000,-123.474326880999996,CTB
